Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Zeki Çelik,27.0,Türkiye,Defender,Roma,Serie A,31,0,2
Fabien Centonze,28.0,France,Defender,Nantes,Ligue 1,7,0,0
Alberto Cerri,28.0,Italy,Forward,Como,Serie A,5,0,0
Franco Cervi,30.0,Argentina,"Forward, Midfielder",Celta Vigo,La Liga,7,0,0
Julian Chabot,26.0,Germany,Defender,Stuttgart,Bundesliga,31,3,1
El Chadaille Bitshiabu,19.0,France,Defender,RB Leipzig,Bundesliga,21,0,0
Fares Chaïbi,21.0,Algeria,"Midfielder, Forward",Eint Frankfurt,Bundesliga,26,1,3
Trevoh Chalobah,25.0,England,Defender,Chelsea,Premier League,13,0,1
Timothy Chandler,34.0,United States,Defender,Eint Frankfurt,Bundesliga,3,0,0
Conor Chaplin,27.0,England,"Midfielder, Forward",Ipswich Town,Premier League,22,1,1
Brendan Chardonnet,29.0,France,Defender,Brest,Ligue 1,27,1,0
Gabriel Charpentier,25.0,Republic of the Congo,Forward,Parma,Serie A,10,1,2
Raúl Chasco,20.0,Spain,Defender,Valladolid,La Liga,2,0,0
Anrie Chase,20.0,Japan,Defender,Stuttgart,Bundesliga,12,0,0
Pep Chavarría,26.0,Spain,"Defender, Forward",Rayo Vallecano,La Liga,34,0,1
Arthur Chaves,23.0,Brazil,Defender,Hoffenheim,Bundesliga,26,1,0
Jhoanner Chávez,22.0,Ecuador,"Defender, Midfielder",Lens,Ligue 1,10,1,0
Walid Cheddira,26.0,Morocco,Forward,Espanyol,La Liga,22,1,1
Chema,19.0,Spain,Midfielder,Real Madrid,La Liga,2,0,0
Théo Chennahi,19.0,France,Defender,Montpellier,Ligue 1,4,0,0
Sidiki Cherif,17.0,France,Forward,Angers,Ligue 1,7,0,0
Rayan Cherki,20.0,France,"Forward, Midfielder",Lyon,Ligue 1,30,8,11
Youssef Chermiti,20.0,Portugal,"Forward, Midfielder",Everton,Premier League,4,0,0
Lucas Chevalier,22.0,France,Goalkeeper,Lille,Ligue 1,34,0,0
Fabio Chiarodia,19.0,Italy,Defender,Gladbach,Bundesliga,16,1,0
Julián Chicco,26.0,Argentina,"Midfielder, Defender",Leganés,La Liga,14,0,1
Leandro Chichizola,34.0,Argentina,Goalkeeper,Parma,Serie A,1,0,0
Federico Chiesa,26.0,Italy,Forward,Liverpool,Premier League,6,0,0
Ben Chilwell,27.0,England,Defender,Crystal Palace,Premier League,8,1,0
Chiquinho,24.0,Portugal,"Midfielder, Forward",Mallorca,La Liga,8,0,0
Pedro Chirivella,27.0,Spain,Midfielder,Nantes,Ligue 1,30,0,2
Joris Chotard,22.0,France,Midfielder,Montpellier,Ligue 1,26,1,0
Hamza Choudhury,26.0,Bangladesh,"Midfielder, Defender",Leicester City,Premier League,4,0,0
Andreas Christensen,28.0,Denmark,Defender,Barcelona,La Liga,5,0,0
Ryan Christie,29.0,Scotland,Midfielder,Bournemouth,Premier League,29,2,3
Carney Chukwuemeka,20.0,England,Midfielder,Dortmund,Bundesliga,10,1,0
Samuel Chukwueze,25.0,Nigeria,"Forward, Midfielder",Milan,Serie A,26,3,2
Aaron Ciammaglichella,19.0,Italy,Midfielder,Torino,Serie A,1,0,0
Jasper Cillessen,35.0,Netherlands,Goalkeeper,Las Palmas,La Liga,27,0,0
Giuseppe Ciocci,22.0,Italy,Goalkeeper,Cagliari,Serie A,1,0,0
Alessandro Circati,20.0,Australia,Defender,Parma,Serie A,6,0,0
Pathé Ciss,30.0,Senegal,"Midfielder, Defender",Rayo Vallecano,La Liga,33,4,1
Alphadjo Cissè,17.0,Italy,"Forward, Midfielder",Hellas Verona,Serie A,2,0,0
Djaoui Cissé,20.0,France,Midfielder,Rennes,Ligue 1,14,1,0
Seydouba Cissé,23.0,Guinea,Midfielder,Leganés,La Liga,34,3,1
Yoann Cissé,19.0,France,Midfielder,Auxerre,Ligue 1,2,0,0
Patrick Ciurria,29.0,Italy,"Midfielder, Defender",Monza,Serie A,21,1,1
Harry Clarke,23.0,England,Defender,Ipswich Town,Premier League,7,0,0
Jack Clarke,23.0,England,"Forward, Midfielder",Ipswich Town,Premier League,32,0,4
Alexis Claude-Maurice,26.0,France,"Midfielder, Forward",Augsburg,Bundesliga,28,9,2
Jonathan Clauss,31.0,France,"Defender, Midfielder",Nice,Ligue 1,28,3,8
Silvi Clúa,19.0,Spain,Midfielder,Girona,La Liga,4,0,0
Nathaniel Clyne,33.0,England,"Defender, Midfielder",Crystal Palace,Premier League,13,0,0
Conor Coady,31.0,England,Defender,Leicester City,Premier League,22,1,0
Marcus Coco,28.0,France,Defender,Nantes,Ligue 1,20,0,1
Saúl Coco,25.0,Equatorial Guinea,Defender,Torino,Serie A,32,2,0
Séamus Coleman,35.0,Ireland,Defender,Everton,Premier League,5,0,0
Nathan Collins,23.0,Ireland,Defender,Brentford,Premier League,38,2,3
Nnamdi Collins,20.0,Germany,Defender,Eint Frankfurt,Bundesliga,24,1,1
Toby Collyer,20.0,England,Midfielder,Manchester Utd,Premier League,6,0,0
Lorenzo Colombo,22.0,Italy,"Forward, Midfielder",Empoli,Serie A,37,6,2
Andrea Colpani,25.0,Italy,"Forward, Midfielder",Fiorentina,Serie A,25,2,1
Levi Colwill,21.0,England,Defender,Chelsea,Premier League,35,2,1
Florinel Coman,26.0,Romania,"Forward, Midfielder",Cagliari,Serie A,9,1,0
Kingsley Coman,28.0,France,Forward,Bayern Munich,Bundesliga,28,5,4
Eray Cömert,26.0,Switzerland,"Defender, Midfielder",Valladolid,La Liga,25,0,0
Santi Comesaña,27.0,Spain,Midfielder,Villarreal,La Liga,35,4,2
Pietro Comuzzo,19.0,Italy,Defender,Fiorentina,Serie A,33,1,0
Francisco Conceição,21.0,Portugal,"Forward, Midfielder",Juventus,Serie A,26,3,3
Diego Conde,25.0,Spain,Goalkeeper,Villarreal,La Liga,22,0,1
Tomás Conechny,26.0,Argentina,"Forward, Midfielder",Alavés,La Liga,22,1,0
Alois Confais,27.0,France,Midfielder,Le Havre,Ligue 1,1,0,0
Sirlord Conteh,28.0,Germany,"Forward, Midfielder",Heidenheim,Bundesliga,29,1,1
Lewis Cook,27.0,England,"Midfielder, Defender",Bournemouth,Premier League,36,1,3
Copete,24.0,Spain,Defender,Mallorca,La Liga,25,0,0
Diego Coppola,20.0,Italy,Defender,Hellas Verona,Serie A,34,2,0
Francis Coquelin,33.0,France,Midfielder,Nantes,Ligue 1,6,1,1
Iker Córdoba,18.0,Spain,Defender,Valencia,La Liga,2,0,0
Derek Cornelius,26.0,Canada,Defender,Marseille,Ligue 1,21,0,0
Maxwel Cornet,27.0,Côte d'Ivoire,"Forward, Midfielder",Genoa,Serie A,7,2,1
Pierre Cornud,27.0,France,Defender,Saint-Étienne,Ligue 1,11,0,0
Ángel Correa,29.0,Argentina,"Forward, Midfielder",Atlético Madrid,La Liga,31,4,1
Joaquín Correa,29.0,Argentina,"Forward, Midfielder",Inter,Serie A,19,2,2
Thierry Correia,25.0,Portugal,Defender,Valencia,La Liga,11,0,0
Alberto costa,20.0,Portugal,Defender,Juventus,Serie A,9,0,1
Coba da Costa,22.0,Spain,"Midfielder, Forward",Getafe,La Liga,19,1,1
Danny da Costa,31.0,Germany,Defender,Mainz 05,Bundesliga,25,0,1
David Costa,23.0,Portugal,"Midfielder, Forward",Lens,Ligue 1,11,0,0
Logan Costa,23.0,Cabo Verde,Defender,Toulouse,Ligue 1,1,0,0
Samu Costa,23.0,Portugal,Midfielder,Mallorca,La Liga,32,0,2
Grégoire Coudert,25.0,France,Goalkeeper,Brest,Ligue 1,2,0,0
Vladimír Coufal,31.0,Czechia,Defender,West Ham,Premier League,22,0,0
Lassana Coulibaly,28.0,Mali,Midfielder,Lecce,Serie A,38,1,0
Lasso Coulibaly,21.0,Côte d'Ivoire,"Forward, Midfielder",Auxerre,Ligue 1,3,1,0
Mamadou Coulibaly,20.0,France,Midfielder,Monaco,Ligue 1,1,0,0
Soumaïla Coulibaly,20.0,France,Defender,Brest,Ligue 1,7,0,0
Tanguy Coulibaly,23.0,France,"Forward, Midfielder",Montpellier,Ligue 1,25,3,0
Woyo Coulibaly,25.0,France,Defender,Parma,Serie A,14,0,1
Marius Courcoul,17.0,France,"Midfielder, Defender",Angers,Ligue 1,8,0,0
Thibaut Courtois,32.0,Belgium,Goalkeeper,Real Madrid,La Liga,30,0,0
Yan Couto,22.0,Brazil,"Defender, Forward",Dortmund,Bundesliga,21,0,0
Nicolas Cozza,25.0,France,"Defender, Midfielder",Nantes,Ligue 1,27,1,0
Aaron Cresswell,34.0,England,Defender,West Ham,Premier League,18,0,0
Charlie Cresswell,21.0,England,Defender,Toulouse,Ligue 1,31,3,1
Bryan Cristante,29.0,Italy,Midfielder,Roma,Serie A,30,4,2
Domen Črnigoj,28.0,Slovenia,Midfielder,Venezia,Serie A,8,0,0
Juan Cruz Armada,32.0,Spain,Defender,Osasuna,La Liga,25,0,0
Juan Cruz,24.0,Spain,"Forward, Midfielder",Leganés,La Liga,34,5,4
Juan Cuadrado,36.0,Colombia,"Defender, Midfielder",Atalanta,Serie A,23,0,2
Pau Cubarsí,17.0,Spain,Defender,Barcelona,La Liga,35,0,3
Cucho,25.0,Colombia,Forward,Betis,La Liga,15,5,1
Marc Cucurella,26.0,Spain,Defender,Chelsea,Premier League,36,5,1
Jorge Cuenca,24.0,Spain,Defender,Fulham,Premier League,8,0,0
Matheus Cunha,25.0,Brazil,"Midfielder, Forward",Wolves,Premier League,33,15,6
Patrick Cutrone,26.0,Italy,Forward,Como,Serie A,33,7,4
Tomáš Čvančara,23.0,Czechia,Forward,Gladbach,Bundesliga,28,2,0
Wylan Cyprien,29.0,France,Midfielder,Parma,Serie A,2,0,0
Danilo D'Ambrosio,35.0,Italy,Defender,Monza,Serie A,20,0,1
Lucas Da Cunha,23.0,France,Midfielder,Como,Serie A,36,3,2
Samuel Dahl,24.0,Sweden,"Defender, Midfielder",Roma,Serie A,2,0,0
Finn Dahmen,26.0,Germany,Goalkeeper,Augsburg,Bundesliga,19,0,0
Thomas Dähne,30.0,Germany,Goalkeeper,Holstein Kiel,Bundesliga,9,0,0
Mahmoud Dahoud,28.0,Germany,Midfielder,Eint Frankfurt,Bundesliga,9,1,1
Patson Daka,25.0,Zambia,"Forward, Midfielder",Leicester City,Premier League,23,1,0
Ameen Al-Dakhil,22.0,Belgium,Defender,Stuttgart,Bundesliga,7,0,0
Thijs Dallinga,23.0,Netherlands,Forward,Bologna,Serie A,31,3,2
Diogo Dalot,25.0,Portugal,Defender,Manchester Utd,Premier League,33,0,3
Mikkel Damsgaard,24.0,Denmark,"Midfielder, Forward",Brentford,Premier League,38,2,10
Maat Daniel Caprini,18.0,Italy,Forward,Fiorentina,Serie A,2,0,0
Flavius Daniliuc,23.0,Austria,Defender,Hellas Verona,Serie A,18,0,0
Danilo,33.0,Brazil,Defender,Juventus,Serie A,12,0,1
Arnaut Danjuma,27.0,Netherlands,"Forward, Midfielder",Girona,La Liga,25,2,0
Jayden Danns,18.0,England,Midfielder,Liverpool,Premier League,1,0,0
Kévin Danois,20.0,France,Midfielder,Auxerre,Ligue 1,22,0,0
Kevin Danso,25.0,Austria,Defender,Lens,Ligue 1,12,0,0
Dante,40.0,Brazil,Defender,Nice,Ligue 1,25,0,0
Mohamed Daramy,22.0,Denmark,Forward,Reims,Ligue 1,2,0,0
Bence Dárdai,18.0,Hungary,Midfielder,Wolfsburg,Bundesliga,21,1,1
Sergi Darder,30.0,Spain,"Midfielder, Forward",Mallorca,La Liga,38,2,6
Matteo Darmian,34.0,Italy,Defender,Inter,Serie A,29,3,2
Lukas Daschner,25.0,Germany,"Midfielder, Forward",Bochum,Bundesliga,14,1,1
Juan David Cabal,23.0,Colombia,Defender,Juventus,Serie A,7,0,0
Jonathan David,24.0,Canada,Forward,Lille,Ligue 1,32,16,5
Alphonso Davies,23.0,Canada,Defender,Bayern Munich,Bundesliga,19,1,2
Ben Davies,31.0,Wales,Defender,Tottenham,Premier League,17,0,0
Keinan Davis,26.0,England,Forward,Udinese,Serie A,23,2,1
Leif Davis,24.0,England,Defender,Ipswich Town,Premier League,33,1,2
Zuriko Davitashvili,23.0,Georgia,"Forward, Midfielder",Saint-Étienne,Ligue 1,33,9,8
Paweł Dawidowicz,29.0,Poland,"Defender, Midfielder",Hellas Verona,Serie A,26,0,0
Craig Dawson,34.0,England,Defender,Wolves,Premier League,15,0,0
Kevin De Bruyne,33.0,Belgium,"Midfielder, Forward",Manchester City,Premier League,28,4,7
Bobby De Cordova-Reid,31.0,Jamaica,Forward,Leicester City,Premier League,23,1,2
Charles De Ketelaere,23.0,Belgium,"Midfielder, Forward",Atalanta,Serie A,36,7,7
Rodrigo De Paul,30.0,Argentina,Midfielder,Atlético Madrid,La Liga,34,3,5
Théo De Percin,23.0,Martinique,Goalkeeper,Auxerre,Ligue 1,2,0,0
Mattia De Sciglio,31.0,Italy,Defender,Empoli,Serie A,16,1,0
