Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Nathan Aké,29.0,nl NED,Defender,Manchester City,eng Premier League,10,0,0
Ilias Akhomach,20.0,ma MAR,"Midfielder, Forward",Villarreal,es La Liga,11,1,0
Sergio Akieme,26.0,es ESP,Defender,Reims,fr Ligue 1,30,2,3
Maghnes Akliouche,22.0,fr FRA,"Forward, Midfielder",Monaco,fr Ligue 1,32,5,10
Paul Akouokou,26.0,ci CIV,Midfielder,Lyon,fr Ligue 1,2,0,0
Clément Akpa,22.0,ci CIV,Defender,Auxerre,fr Ligue 1,31,0,1
Jean-Daniel Akpa-Akpro,31.0,ci CIV,Midfielder,Monza,it Serie A,14,0,0
David Akpan Ankeye,22.0,ng NGA,"Forward, Midfielder",Genoa,it Serie A,4,0,0
Kevin Akpoguma,29.0,ng NGA,Defender,Hoffenheim,de Bundesliga,32,0,0
Chuba Akpom,28.0,eng ENG,Forward,Lille,fr Ligue 1,14,3,1
David Alaba,32.0,at AUT,Defender,Real Madrid,es La Liga,7,0,0
Ibrahim Alani,18.0,ng NGA,Midfielder,Valladolid,es La Liga,3,0,0
Andreas Albers,34.0,dk DEN,Forward,St. Pauli,de Bundesliga,14,1,0
Raúl Albiol,38.0,es ESP,Defender,Villarreal,es La Liga,15,0,0
Carlos Alcaraz,21.0,ar ARG,"Forward, Midfielder",Everton,eng Premier League,15,2,3
Omar Alderete,27.0,py PAR,Defender,Getafe,es La Liga,34,1,0
Carles Aleñá,26.0,es ESP,"Midfielder, Forward",Alavés,es La Liga,14,0,2
Ben Alexander Voll,23.0,de GER,Goalkeeper,St. Pauli,de Bundesliga,2,0,0
Trent Alexander-Arnold,25.0,eng ENG,Defender,Liverpool,eng Premier League,33,3,6
Alfon,25.0,es ESP,"Forward, Midfielder",Celta Vigo,es La Liga,26,5,2
Mohamed Ali Cho,20.0,fr FRA,"Forward, Midfielder",Nice,fr Ligue 1,27,3,4
Faride Alidou,23.0,de GER,"Forward, Midfielder",Hellas Verona,it Serie A,3,0,0
Alisson,31.0,br BRA,Goalkeeper,Liverpool,eng Premier League,28,0,0
Tadeo Allende,25.0,ar ARG,Forward,Celta Vigo,es La Liga,1,0,0
Jim Allevinah,29.0,ga GAB,Forward,Angers,fr Ligue 1,28,1,3
Dele Alli,28.0,eng ENG,Midfielder,Como,it Serie A,1,0,0
Thiago Almada,23.0,ar ARG,"Midfielder, Forward",Lyon,fr Ligue 1,16,1,4
Domingos André Ribeiro Almeida,24.0,pt POR,"Midfielder, Forward",Valencia,es La Liga,34,0,4
Iker Almena,20.0,es ESP,"Forward, Defender",Girona,es La Liga,2,0,1
Miguel Almirón,30.0,py PAR,Forward,Newcastle Utd,eng Premier League,9,0,0
Pontus Almqvist,25.0,se SWE,"Forward, Midfielder",Parma,it Serie A,29,1,1
Marcos Alonso,33.0,es ESP,Defender,Celta Vigo,es La Liga,31,3,0
Giorgio Altare,25.0,it ITA,Defender,Venezia,it Serie A,12,0,0
Adrià Altimira,23.0,es ESP,"Defender, Forward",Leganés,es La Liga,22,0,0
Sergi Altimira,22.0,es ESP,Midfielder,Betis,es La Liga,32,0,1
Olabade Aluko,,,Defender,Leicester City,eng Premier League,1,0,0
Edson Álvarez,26.0,mx MEX,Midfielder,West Ham,eng Premier League,28,0,1
Hugo Álvarez,21.0,es ESP,"Midfielder, Defender",Celta Vigo,es La Liga,26,4,3
Julián Álvarez,24.0,ar ARG,Forward,Atlético Madrid,es La Liga,37,17,4
Yeray Álvarez,29.0,es ESP,Defender,Athletic Club,es La Liga,21,1,0
Skelly Alvero,22.0,fr FRA,Midfielder,Werder Bremen,de Bundesliga,12,0,0
Will Alves,19.0,eng ENG,Forward,Leicester City,eng Premier League,1,0,0
Selim Amallah,27.0,ma MAR,Midfielder,Valladolid,es La Liga,24,3,1
Harry Amass,17.0,eng ENG,Defender,Manchester Utd,eng Premier League,5,0,0
Amath,28.0,sn SEN,"Forward, Defender",Valladolid,es La Liga,13,0,1
Jordan Amavi,30.0,fr FRA,Defender,Brest,fr Ligue 1,11,0,0
Aurele Amenda,21.0,ch SUI,Defender,Eint Frankfurt,de Bundesliga,8,0,0
Kelvin Amian,26.0,fr FRA,Defender,Nantes,fr Ligue 1,30,1,0
Michael Amir Murillo,28.0,pa PAN,Defender,Marseille,fr Ligue 1,30,1,3
Nadiem Amiri,27.0,de GER,Midfielder,Mainz 05,de Bundesliga,30,7,5
Samuel Amo-Ameyaw,18.0,eng ENG,"Defender, Midfielder",Strasbourg,fr Ligue 1,9,2,0
Mathis Amougou,18.0,fr FRA,Midfielder,Saint-Étienne,fr Ligue 1,17,0,0
Mohamed Amoura,24.0,dz ALG,Forward,Wolfsburg,de Bundesliga,31,10,9
Sofyan Amrabat,27.0,ma MAR,Midfielder,Fiorentina,it Serie A,2,0,0
Joachim Andersen,28.0,dk DEN,Defender,Fulham,eng Premier League,29,0,0
Elliot Anderson,21.0,eng ENG,Midfielder,Nott'ham Forest,eng Premier League,37,2,6
André,23.0,br BRA,Midfielder,Wolves,eng Premier League,33,0,0
Benjamin André,33.0,fr FRA,Midfielder,Lille,fr Ligue 1,30,0,3
Marcos André,27.0,br BRA,Forward,Valladolid,es La Liga,22,1,2
Robert Andrich,29.0,de GER,"Midfielder, Defender",Leverkusen,de Bundesliga,23,2,2
Angeliño,27.0,es ESP,Defender,Roma,it Serie A,38,2,1
Lorenzo Anghelè,19.0,it ITA,Forward,Juventus,it Serie A,1,0,0
Faustino Anjorin,22.0,eng ENG,Midfielder,Empoli,it Serie A,22,2,3
Waldemar Anton,28.0,de GER,Defender,Dortmund,de Bundesliga,26,2,2
Leandro Antonetti,21.0,pr PUR,Forward,Sevilla,es La Liga,2,0,0
Kyllian Antonio,16.0,fr FRA,"Defender, Midfielder",Lens,fr Ligue 1,3,0,0
Michail Antonio,34.0,jm JAM,Forward,West Ham,eng Premier League,14,1,1
Antoniu,21.0,es ESP,"Forward, Midfielder",Espanyol,es La Liga,26,0,1
Antony,24.0,br BRA,Forward,Betis,es La Liga,17,5,2
Anuar,29.0,ma MAR,"Midfielder, Forward",Valladolid,es La Liga,26,2,0
Dennis Appiah,32.0,fr FRA,Defender,Saint-Étienne,fr Ligue 1,29,0,1
Aritz Arambarri,26.0,es ESP,Defender,Leganés,es La Liga,2,0,0
Mauro Arambarri,28.0,uy URU,Midfielder,Getafe,es La Liga,35,10,0
Jon Aramburu,22.0,ve VEN,Defender,Real Sociedad,es La Liga,35,1,1
Julian Araujo,22.0,mx MEX,Defender,Bournemouth,eng Premier League,12,0,0
Ronald Araújo,25.0,uy URU,Defender,Barcelona,es La Liga,12,1,1
Cameron Archer,23.0,eng ENG,Forward,Southampton,eng Premier League,35,2,0
Carlens Arcus,28.0,ht HAI,Defender,Angers,fr Ligue 1,28,0,1
Alphonse Areola,31.0,fr FRA,Goalkeeper,West Ham,eng Premier League,26,0,0
Adu Ares,22.0,es ESP,Forward,Athletic Club,es La Liga,1,0,0
Jesús Areso,25.0,es ESP,Defender,Osasuna,es La Liga,36,0,3
David Argüelles,22.0,es ESP,Midfielder,Getafe,es La Liga,1,0,0
Joe Aribo,28.0,ng NGA,"Midfielder, Defender",Southampton,eng Premier League,32,3,0
Adam Armstrong,27.0,eng ENG,"Forward, Midfielder",Southampton,eng Premier League,20,2,2
Harrison Armstrong,17.0,eng ENG,Midfielder,Everton,eng Premier League,3,0,0
José Arnaiz,29.0,es ESP,"Forward, Midfielder",Osasuna,es La Liga,15,0,0
Hákon Arnar Haraldsson,21.0,is ISL,"Midfielder, Forward",Lille,fr Ligue 1,25,5,3
Marko Arnautović,35.0,at AUT,Forward,Inter,it Serie A,18,4,2
Maximilian Arnold,30.0,de GER,Midfielder,Wolfsburg,de Bundesliga,28,3,5
Jann-Fiete Arp,24.0,de GER,"Forward, Midfielder",Holstein Kiel,de Bundesliga,23,2,0
Sergio Arribas,21.0,es ESP,Defender,Betis,es La Liga,1,0,0
Kepa Arrizabalaga,29.0,es ESP,Goalkeeper,Bournemouth,eng Premier League,31,0,0
Arthur,21.0,br BRA,Defender,Leverkusen,de Bundesliga,20,0,1
Takuma Asano,29.0,jp JPN,"Forward, Midfielder",Mallorca,es La Liga,21,2,1
Raúl Asencio,21.0,es ESP,Defender,Real Madrid,es La Liga,23,0,1
Marco Asensio,28.0,es ESP,"Forward, Midfielder",Paris S-G,fr Ligue 1,12,2,4
Kristjan Asllani,22.0,al ALB,Midfielder,Inter,it Serie A,22,2,2
