Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Kepa Arrizabalaga,29.0,es ESP,GK,Bournemouth,eng Premier League,31,0,0
Arthur,21.0,br BRA,DF,Leverkusen,de Bundesliga,20,0,1
Takuma Asano,29.0,jp JPN,"FW,MF",Mallorca,es La Liga,21,2,1
Raúl Asencio,21.0,es ESP,DF,Real Madrid,es La Liga,23,0,1
Marco Asensio,28.0,es ESP,MF,Aston Villa,eng Premier League,13,3,1
Marco Asensio,28.0,es ESP,"FW,MF",Paris S-G,fr Ligue 1,12,2,4
Kristjan Asllani,22.0,al ALB,MF,Inter,it Serie A,22,2,2
Iago Aspas,36.0,es ESP,"FW,MF",Celta Vigo,es La Liga,30,10,5
Yaser Asprilla,20.0,co COL,"FW,MF",Girona,es La Liga,27,3,1
Lorenz Assignon,24.0,tg TOG,"DF,MF",Rennes,fr Ligue 1,32,3,4
Dehmaine Assoumani,19.0,fr FRA,"MF,FW",Nantes,fr Ligue 1,12,0,0
Valentin Atangana Edoa,18.0,fr FRA,MF,Reims,fr Ligue 1,34,1,0
Arthur Atta,21.0,fr FRA,"MF,FW",Udinese,it Serie A,27,0,1
Noah Atubolu,22.0,de GER,GK,Freiburg,de Bundesliga,26,0,0
Emil Audero,27.0,id IDN,GK,Como,it Serie A,8,0,0
Tommaso Augello,29.0,it ITA,DF,Cagliari,it Serie A,38,0,7
Carlos Augusto,25.0,br BRA,DF,Inter,it Serie A,29,3,2
Yann Aurel Bisseck,23.0,de GER,DF,Inter,it Serie A,27,3,2
Brandon Austin,25.0,eng ENG,GK,Tottenham,eng Premier League,1,0,0
Ezequiel Ávila,30.0,ar ARG,FW,Betis,es La Liga,19,2,0
Taiwo Awoniyi,26.0,ng NGA,FW,Nott'ham Forest,eng Premier League,26,1,0
Yasin Ayari,20.0,se SWE,MF,Brighton,eng Premier League,34,2,1
Florian Ayé,27.0,fr FRA,FW,Auxerre,fr Ligue 1,26,2,0
André Ayew,34.0,gh GHA,FW,Le Havre,fr Ligue 1,27,4,1
Jordan Ayew,32.0,gh GHA,"FW,MF",Crystal Palace,eng Premier League,1,0,0
Jordan Ayew,32.0,gh GHA,"FW,MF",Leicester City,eng Premier League,30,5,0
Neil El Aynaoui,23.0,fr FRA,MF,Lens,fr Ligue 1,24,8,1
Ayman Azhil,23.0,ma MAR,MF,Dortmund,de Bundesliga,1,0,0
Adam Aznou,18.0,ma MAR,DF,Valladolid,es La Liga,13,0,0
Adam Aznou,18.0,ma MAR,DF,Bayern Munich,de Bundesliga,2,0,0
César Azpilicueta,34.0,es ESP,DF,Atlético Madrid,es La Liga,14,1,0
